"","Districte","Secció","Renda_neta_mitja_PERSONA","Renda_neta_mitja_HABITATGE","Censo","Votants","Vots","Participació","ARA PL","% ARA PL","Vots Junts","% Junts","Vots Cs","% Cs","Vots CUP","% CUP","Vots ERC","% ERC","Vots PACMA","% PACMA","Vots PCTC","% PCTC","Vots PFIV","% PFIV","Vots PP","% PP","Vots PSC","% PSC","Vots Comuns","% Comuns","Vots TxT","% TxT","Vots Valents","% Valents","Vots VOX","% VOX","Renda_persona"
"98",5,21,15.647,38.271,606,344,342,"56.77%",0,"0.00%",29,"8.48%",10,"2.92%",10,"2.92%",28,"8.19%",11,"3.22%",1,"0.29%",1,"0.29%",26,"7.60%",79,"23.10%",12,"3.51%",110,"32.16%",1,"0.29%",19,"5.56%",15647
"99",5,22,14.487,39.48,584,251,251,"42.98%",0,"0.00%",13,"5.18%",6,"2.39%",7,"2.79%",17,"6.77%",5,"1.99%",2,"0.80%",2,"0.80%",27,"10.76%",44,"17.53%",15,"5.98%",80,"31.87%",1,"0.40%",28,"11.16%",14487
"100",5,23,18.404,46.719,1475,804,793,"54.51%",0,"0.00%",80,"10.09%",14,"1.77%",43,"5.42%",86,"10.84%",5,"0.63%",2,"0.25%",4,"0.50%",40,"5.04%",119,"15.01%",37,"4.67%",293,"36.95%",4,"0.50%",51,"6.43%",18404
"101",5,24,17.783,45.853,1196,653,653,"54.60%",0,"0.00%",36,"5.51%",26,"3.98%",13,"1.99%",49,"7.50%",9,"1.38%",2,"0.31%",7,"1.07%",36,"5.51%",135,"20.67%",32,"4.90%",224,"34.30%",3,"0.46%",69,"10.57%",17783
"102",5,25,16.055,40.543,975,493,489,"50.56%",1,"0.20%",14,"2.86%",11,"2.25%",12,"2.45%",40,"8.18%",4,"0.82%",0,"0.00%",0,"0.00%",22,"4.50%",111,"22.70%",15,"3.07%",206,"42.13%",1,"0.20%",47,"9.61%",16055
"103",5,26,17.824,42.491,971,565,554,"58.19%",1,"0.18%",66,"11.91%",12,"2.17%",23,"4.15%",43,"7.76%",7,"1.26%",3,"0.54%",7,"1.26%",32,"5.78%",105,"18.95%",24,"4.33%",194,"35.02%",1,"0.18%",27,"4.87%",17824
"104",5,27,17.536,42.505,960,545,534,"56.77%",1,"0.18%",50,"9.36%",8,"1.50%",29,"5.43%",52,"9.74%",6,"1.12%",1,"0.19%",2,"0.37%",38,"7.12%",89,"16.67%",21,"3.93%",194,"36.33%",0,"0.00%",34,"6.37%",17536
"105",5,28,15.893,42.11,948,574,571,"60.55%",0,"0.00%",17,"2.98%",21,"3.68%",10,"1.75%",32,"5.60%",11,"1.93%",0,"0.00%",1,"0.18%",39,"6.83%",125,"21.89%",25,"4.38%",214,"37.48%",3,"0.53%",65,"11.38%",15893
"106",5,29,16.021,46.806,974,531,527,"54.52%",0,"0.00%",18,"3.42%",8,"1.52%",17,"3.23%",40,"7.59%",7,"1.33%",0,"0.00%",2,"0.38%",21,"3.98%",107,"20.30%",20,"3.80%",229,"43.45%",1,"0.19%",48,"9.11%",16021
"107",5,30,12.892,34.745,824,389,389,"47.21%",0,"0.00%",8,"2.06%",9,"2.31%",7,"1.80%",11,"2.83%",11,"2.83%",1,"0.26%",0,"0.00%",26,"6.68%",130,"33.42%",13,"3.34%",115,"29.56%",2,"0.51%",55,"14.14%",12892
