"","Districte","Secció","Renda_neta_mitja_PERSONA","Renda_neta_mitja_HABITATGE","Censo","Votants","Vots","Participació","ARA PL","% ARA PL","Vots Junts","% Junts","Vots Cs","% Cs","Vots CUP","% CUP","Vots ERC","% ERC","Vots PACMA","% PACMA","Vots PCTC","% PCTC","Vots PFIV","% PFIV","Vots PP","% PP","Vots PSC","% PSC","Vots Comuns","% Comuns","Vots TxT","% TxT","Vots Valents","% Valents","Vots VOX","% VOX","Renda_persona"
"1",1,1,24.878,56.008,1052,626,620,"59.51%",0,"0.00%",193,"31.13%",4,"0.65%",43,"6.94%",52,"8.39%",4,"0.65%",1,"0.16%",24,"3.87%",24,"3.87%",46,"7.42%",14,"2.26%",191,"30.81%",0,"0.00%",12,"1.94%",24878
"2",1,2,20.931,53.507,1146,691,685,"60.30%",3,"0.43%",175,"25.55%",10,"1.46%",42,"6.13%",76,"11.09%",4,"0.58%",0,"0.00%",14,"2.04%",31,"4.53%",68,"9.93%",39,"5.69%",192,"28.03%",0,"0.00%",19,"2.77%",20931
"3",1,4,19.585,49.765,1575,956,947,"60.70%",3,"0.31%",176,"18.59%",4,"0.42%",70,"7.39%",112,"11.83%",14,"1.48%",5,"0.53%",15,"1.58%",44,"4.65%",96,"10.14%",38,"4.01%",310,"32.73%",2,"0.21%",43,"4.54%",19585
"4",1,5,20.446,55.102,1068,641,632,"60.02%",0,"0.00%",124,"19.62%",7,"1.11%",41,"6.49%",71,"11.23%",6,"0.95%",0,"0.00%",7,"1.11%",34,"5.38%",87,"13.77%",29,"4.59%",189,"29.91%",0,"0.00%",22,"3.48%",20446
"5",1,6,20.622,50.955,1208,735,718,"60.84%",0,"0.00%",162,"22.56%",8,"1.11%",36,"5.01%",79,"11.00%",10,"1.39%",0,"0.00%",20,"2.79%",31,"4.32%",77,"10.72%",27,"3.76%",226,"31.48%",2,"0.28%",29,"4.04%",20622
"6",1,7,20.742,48.884,1437,797,783,"55.46%",2,"0.25%",149,"19.03%",7,"0.89%",36,"4.60%",60,"7.66%",6,"0.77%",2,"0.26%",16,"2.04%",46,"5.87%",95,"12.13%",19,"2.43%",281,"35.89%",6,"0.77%",47,"6.00%",20742
"7",1,8,21.801,58.406,980,601,594,"61.33%",3,"0.50%",129,"21.72%",6,"1.01%",42,"7.07%",52,"8.75%",2,"0.34%",0,"0.00%",13,"2.19%",33,"5.56%",60,"10.10%",18,"3.03%",206,"34.68%",1,"0.17%",22,"3.70%",21801
"8",1,9,20.633,54.485,1048,630,627,"60.11%",1,"0.16%",133,"21.21%",6,"0.96%",34,"5.42%",56,"8.93%",4,"0.64%",0,"0.00%",20,"3.19%",41,"6.54%",69,"11.00%",24,"3.83%",199,"31.74%",3,"0.48%",28,"4.47%",20633
"9",1,10,19.977,52.891,1013,603,600,"59.53%",3,"0.50%",84,"14.00%",1,"0.17%",52,"8.67%",70,"11.67%",12,"2.00%",1,"0.17%",2,"0.33%",26,"4.33%",91,"15.17%",35,"5.83%",180,"30.00%",1,"0.17%",32,"5.33%",19977
"10",1,11,14.563,37.501,953,496,489,"52.05%",2,"0.40%",43,"8.79%",8,"1.64%",27,"5.52%",47,"9.61%",5,"1.02%",0,"0.00%",0,"0.00%",32,"6.54%",94,"19.22%",32,"6.54%",152,"31.08%",2,"0.41%",33,"6.75%",14563
"11",1,12,15.936,36.452,1143,628,618,"54.94%",3,"0.48%",51,"8.25%",11,"1.78%",16,"2.59%",64,"10.36%",7,"1.13%",1,"0.16%",2,"0.32%",31,"5.02%",114,"18.45%",41,"6.63%",211,"34.14%",3,"0.49%",52,"8.41%",15936
"12",1,13,12.551,32.089,632,307,303,"48.58%",0,"0.00%",2,"0.66%",6,"1.98%",2,"0.66%",21,"6.93%",5,"1.65%",1,"0.33%",1,"0.33%",16,"5.28%",93,"30.69%",21,"6.93%",94,"31.02%",0,"0.00%",35,"11.55%",12551
"13",1,14,13.824,36.824,1541,785,778,"50.94%",0,"0.00%",36,"4.63%",14,"1.80%",25,"3.21%",63,"8.10%",12,"1.54%",3,"0.39%",7,"0.90%",73,"9.38%",185,"23.78%",40,"5.14%",211,"27.12%",1,"0.13%",98,"12.60%",13824
"14",1,15,15.197,40.471,950,501,498,"52.74%",6,"1.20%",41,"8.23%",5,"1.00%",11,"2.21%",39,"7.83%",4,"0.80%",0,"0.00%",2,"0.40%",31,"6.22%",98,"19.68%",25,"5.02%",186,"37.35%",0,"0.00%",44,"8.84%",15197
"15",1,16,17.308,41.69,1800,995,986,"55.28%",1,"0.10%",132,"13.39%",8,"0.81%",41,"4.16%",94,"9.53%",13,"1.32%",4,"0.41%",2,"0.20%",47,"4.77%",186,"18.86%",34,"3.45%",341,"34.58%",1,"0.10%",71,"7.20%",17308
"16",1,17,18.204,47.058,1666,947,926,"56.84%",1,"0.11%",145,"15.66%",14,"1.51%",70,"7.56%",93,"10.04%",14,"1.51%",0,"0.00%",6,"0.65%",41,"4.43%",112,"12.10%",41,"4.43%",341,"36.83%",4,"0.43%",32,"3.46%",18204
"17",1,18,19.126,53.335,492,321,316,"65.24%",0,"0.00%",69,"21.84%",4,"1.27%",37,"11.71%",45,"14.24%",3,"0.95%",0,"0.00%",3,"0.95%",9,"2.85%",29,"9.18%",17,"5.38%",81,"25.63%",0,"0.00%",14,"4.43%",19126
"18",1,19,14.889,35.212,1159,588,581,"50.73%",4,"0.68%",30,"5.16%",6,"1.03%",17,"2.93%",67,"11.53%",10,"1.72%",1,"0.17%",0,"0.00%",57,"9.81%",104,"17.90%",33,"5.68%",201,"34.60%",5,"0.86%",39,"6.71%",14889
"19",1,20,20.546,48.549,1207,723,709,"59.90%",0,"0.00%",83,"11.71%",10,"1.41%",35,"4.94%",56,"7.90%",9,"1.27%",1,"0.14%",9,"1.27%",36,"5.08%",125,"17.63%",37,"5.22%",254,"35.83%",11,"1.55%",28,"3.95%",20546
"20",1,21,16.279,40.064,1120,593,587,"52.95%",4,"0.67%",63,"10.73%",13,"2.21%",32,"5.45%",61,"10.39%",11,"1.87%",0,"0.00%",0,"0.00%",55,"9.37%",106,"18.06%",20,"3.41%",148,"25.21%",5,"0.85%",57,"9.71%",16279
"21",1,22,17.296,43.862,1439,794,780,"55.18%",0,"0.00%",82,"10.51%",14,"1.79%",40,"5.13%",76,"9.74%",14,"1.79%",0,"0.00%",11,"1.41%",43,"5.51%",115,"14.74%",20,"2.56%",288,"36.92%",1,"0.13%",56,"7.18%",17296
"22",1,23,19.731,49.926,997,606,598,"60.78%",1,"0.17%",68,"11.37%",11,"1.84%",18,"3.01%",53,"8.86%",13,"2.17%",1,"0.17%",14,"2.34%",38,"6.35%",107,"17.89%",30,"5.02%",189,"31.61%",3,"0.50%",46,"7.69%",19731
"23",1,24,22.115,57.262,678,436,427,"64.31%",1,"0.23%",122,"28.57%",3,"0.70%",32,"7.49%",40,"9.37%",8,"1.87%",0,"0.00%",12,"2.81%",19,"4.45%",38,"8.90%",20,"4.68%",114,"26.70%",0,"0.00%",8,"1.87%",22115
"24",1,25,21.045,50.726,1047,642,634,"61.32%",2,"0.31%",103,"16.25%",12,"1.89%",27,"4.26%",52,"8.20%",12,"1.89%",3,"0.47%",8,"1.26%",38,"5.99%",53,"8.36%",24,"3.79%",259,"40.85%",1,"0.16%",21,"3.31%",21045
"25",2,1,10.537,30.395,1060,503,500,"47.45%",0,"0.00%",11,"2.20%",12,"2.40%",7,"1.40%",27,"5.40%",8,"1.60%",2,"0.40%",2,"0.40%",47,"9.40%",156,"31.20%",11,"2.20%",137,"27.40%",2,"0.40%",74,"14.80%",10537
"26",2,3,8.18,35.365,964,365,363,"37.86%",0,"0.00%",7,"1.93%",9,"2.48%",1,"0.28%",6,"1.65%",3,"0.83%",3,"0.83%",1,"0.28%",24,"6.61%",146,"40.22%",12,"3.31%",84,"23.14%",1,"0.28%",53,"14.60%",8180
"27",2,4,7.981,30.644,885,365,361,"41.24%",1,"0.27%",9,"2.49%",0,"0.00%",7,"1.94%",11,"3.05%",5,"1.39%",0,"0.00%",1,"0.28%",27,"7.48%",127,"35.18%",22,"6.09%",91,"25.21%",3,"0.83%",51,"14.13%",7981
"28",2,5,9.989,28.019,827,408,405,"49.33%",0,"0.00%",5,"1.23%",7,"1.73%",4,"0.99%",16,"3.95%",6,"1.48%",2,"0.49%",0,"0.00%",42,"10.37%",124,"30.62%",15,"3.70%",107,"26.42%",5,"1.23%",63,"15.56%",9989
"29",2,6,10.711,32.001,715,348,348,"48.67%",0,"0.00%",7,"2.01%",6,"1.72%",9,"2.59%",17,"4.89%",4,"1.15%",0,"0.00%",0,"0.00%",36,"10.34%",97,"27.87%",18,"5.17%",84,"24.14%",1,"0.29%",67,"19.25%",10711
"30",2,8,11.513,31.904,773,363,357,"46.96%",0,"0.00%",2,"0.56%",8,"2.24%",6,"1.68%",20,"5.60%",2,"0.56%",0,"0.00%",1,"0.28%",23,"6.44%",104,"29.13%",23,"6.44%",101,"28.29%",2,"0.56%",62,"17.37%",11513
"31",2,9,10.613,30.755,1133,542,539,"47.84%",3,"0.55%",12,"2.23%",8,"1.48%",6,"1.11%",32,"5.94%",8,"1.48%",5,"0.93%",0,"0.00%",45,"8.35%",155,"28.76%",14,"2.60%",164,"30.43%",1,"0.19%",84,"15.58%",10613
"32",2,11,11.38,29.601,862,391,386,"45.36%",3,"0.77%",11,"2.85%",9,"2.33%",6,"1.55%",15,"3.89%",5,"1.30%",2,"0.52%",0,"0.00%",33,"8.55%",94,"24.35%",11,"2.85%",117,"30.31%",4,"1.04%",71,"18.39%",11380
"33",2,12,7.405,22.296,681,240,239,"35.24%",2,"0.83%",2,"0.84%",2,"0.84%",6,"2.51%",9,"3.77%",2,"0.84%",2,"0.84%",0,"0.00%",15,"6.28%",82,"34.31%",12,"5.02%",57,"23.85%",1,"0.42%",38,"15.90%",7405
"34",2,14,13.698,34.878,1482,654,644,"44.13%",0,"0.00%",18,"2.80%",15,"2.33%",6,"0.93%",31,"4.81%",14,"2.17%",2,"0.31%",0,"0.00%",48,"7.45%",144,"22.36%",26,"4.04%",200,"31.06%",3,"0.47%",127,"19.72%",13698
"35",2,15,8.067,22.123,555,172,172,"30.99%",1,"0.58%",1,"0.58%",2,"1.16%",1,"0.58%",5,"2.91%",2,"1.16%",3,"1.74%",0,"0.00%",6,"3.49%",60,"34.88%",5,"2.91%",50,"29.07%",0,"0.00%",34,"19.77%",8067
"36",2,16,14.638,39.893,1598,762,753,"47.68%",0,"0.00%",24,"3.19%",9,"1.20%",17,"2.26%",39,"5.18%",17,"2.26%",1,"0.13%",2,"0.27%",35,"4.65%",150,"19.92%",51,"6.77%",255,"33.86%",1,"0.13%",139,"18.46%",14638
"37",2,17,11.225,27.782,1451,565,563,"38.94%",3,"0.53%",6,"1.07%",10,"1.78%",10,"1.78%",26,"4.62%",20,"3.55%",0,"0.00%",2,"0.36%",34,"6.04%",121,"21.49%",33,"5.86%",178,"31.62%",1,"0.18%",113,"20.07%",11225
"38",3,1,14.011,35.136,1274,626,621,"49.14%",0,"0.00%",23,"3.70%",6,"0.97%",20,"3.22%",63,"10.14%",16,"2.58%",2,"0.32%",0,"0.00%",52,"8.37%",97,"15.62%",26,"4.19%",247,"39.77%",1,"0.16%",59,"9.50%",14011
